2026-04-07T05:14:07.398Z DEBUG 1 --- [demo] [nio-8000-exec-7] o.s.web.servlet.DispatcherServlet        : OPTIONS "/api/v1/jurisdiction-areas/", parameters={}
2026-04-07T05:14:07.398Z DEBUG 1 --- [demo] [nio-8000-exec-7] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped to com.hexa.mole.office_module.adapter.inbound.rest.JurisdictionAreaController#getAllJurisdictionAreas()
2026-04-07T05:14:07.398Z DEBUG 1 --- [demo] [nio-8000-exec-7] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2026-04-07T05:14:07.403Z DEBUG 1 --- [demo] [nio-8000-exec-6] o.s.web.servlet.DispatcherServlet        : GET "/api/v1/jurisdiction-areas/", parameters={}
2026-04-07T05:14:07.403Z DEBUG 1 --- [demo] [nio-8000-exec-6] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped to com.hexa.mole.office_module.adapter.inbound.rest.JurisdictionAreaController#getAllJurisdictionAreas()
2026-04-07T05:14:07.403Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.a.i.r.JurisdictionAreaController : Fetching all jurisdiction areas
2026-04-07T05:14:07.461Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: b0e48689-bece-4001-b7f2-dad24a1eacff
2026-04-07T05:14:07.461Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 2f271854-9107-4c1a-9240-fa649ab627d0
2026-04-07T05:14:07.461Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: da2dab7e-dbad-4530-bb3e-08228af80b1d
2026-04-07T05:14:07.461Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: ef285ab2-4928-425b-ab95-374f5dd4e91b
2026-04-07T05:14:07.461Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 5806c237-a692-4cba-8bd2-98daa80aa357
2026-04-07T05:14:07.462Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: a953aab0-48bf-4738-96ba-7c65a49ed26f
2026-04-07T05:14:07.462Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: b9a6bd25-350e-4bbc-826e-b5ed8cd47e7a
2026-04-07T05:14:07.462Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 951e505b-d520-4fb1-a320-73ce3a0149b0
2026-04-07T05:14:07.462Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: db09030c-4c35-4e4e-b268-18c04d64d445
2026-04-07T05:14:07.462Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 7ad5d86e-3814-4bea-8493-21fa4aceecd7
2026-04-07T05:14:07.462Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: ad46666a-fd48-46a9-81c9-216a7fc35fa9
2026-04-07T05:14:07.462Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 37f91c60-9079-49d5-a246-2fbe2a9858c3
2026-04-07T05:14:07.462Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: c9c11424-7ae7-4913-bd28-2dedfa5b36cc
2026-04-07T05:14:07.462Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: e3338e45-c46d-4227-8372-1393ce5fdbc0
2026-04-07T05:14:07.462Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 10038de9-4f1f-4cb9-aabe-06be407d9916
2026-04-07T05:14:07.462Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 2cd4fa9e-46b4-4af8-a74a-c239b8f9cf1d
2026-04-07T05:14:07.462Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 1bc9b645-091e-4bf7-93d7-b4364855b281
2026-04-07T05:14:07.462Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: b336203b-a234-454d-85f4-75d4ac5b2d4a
2026-04-07T05:14:07.462Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: ec6068e4-1577-40e9-b18a-a8f4feee48bc
2026-04-07T05:14:07.462Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 83b9a570-68ce-41bb-a930-59f81253bc80
2026-04-07T05:14:07.462Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: bdcea45c-746b-4cf2-8abf-baa7c1152c58
2026-04-07T05:14:07.463Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 0ea65a59-a63e-4de0-a8bc-48f9053b063c
2026-04-07T05:14:07.463Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 890784d2-8715-48b8-9197-656c3ca61419
2026-04-07T05:14:07.463Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: d8ae4277-1cb4-4e8e-bead-748f59013a4e
2026-04-07T05:14:07.463Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: d8ea93f5-ccea-422f-ba7b-5971fa89aaf0
2026-04-07T05:14:07.463Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 820b891d-66bc-4742-8bdb-ac33906191f6
2026-04-07T05:14:07.463Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 9063d67f-18b6-428c-bf31-e8096897efbe
2026-04-07T05:14:07.463Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 11d9b3f4-24a0-4b37-8269-f0c45562ea57
2026-04-07T05:14:07.463Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 1a727dc7-a228-49c9-97f2-16554245f022
2026-04-07T05:14:07.463Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 9e9b5e07-1938-4679-9764-4e66c4aed181
2026-04-07T05:14:07.463Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 4629d3e4-5c0c-4e9c-b8f4-23fa2a992141
2026-04-07T05:14:07.463Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 4e37a949-25f5-4fb2-b4d2-7da8346a8deb
2026-04-07T05:14:07.463Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 3da4a176-dd37-4b73-b7fc-02e7830a63a5
2026-04-07T05:14:07.463Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 48bb4942-6dfa-47e6-9c9c-4a16d373c07a
2026-04-07T05:14:07.463Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 0e96e88a-eaa3-4b5b-9f90-e13f88aad070
2026-04-07T05:14:07.464Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 32ed4e8c-4341-4a81-9f7e-472cc629764a
2026-04-07T05:14:07.464Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 7219e01a-7dac-4160-9478-687db522ba05
2026-04-07T05:14:07.464Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 69ff137a-fffd-4bf8-9edb-99bb57783f58
2026-04-07T05:14:07.464Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: d6427223-95b2-4e32-8513-779a90d7e8ad
2026-04-07T05:14:07.464Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: d5212597-f92e-4518-bda7-b3327534e478
2026-04-07T05:14:07.464Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 138c8426-b6b1-4ef6-b572-2babfdba5226
2026-04-07T05:14:07.464Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: e115d7aa-2811-4e5e-bdda-f8bed23d5b3d
2026-04-07T05:14:07.464Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 60610f5d-c570-4605-94a9-d2df3fed322a
2026-04-07T05:14:07.464Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 46f8539c-da8d-4e49-ab9f-2b47129cfe92
2026-04-07T05:14:07.464Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: ed90625a-204e-403f-a160-33dd9bc44cf0
2026-04-07T05:14:07.464Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 03f2dc87-81ea-4335-9bad-41229d637a32
2026-04-07T05:14:07.464Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 82e18de5-f7ff-43c5-805b-a43f9305e8c0
2026-04-07T05:14:07.464Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: a5e2899d-406d-4705-a5b1-21399ce76da3
2026-04-07T05:14:07.465Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 797a9953-8fae-42f4-ab7d-1070910552f0
2026-04-07T05:14:07.465Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 99cccb9b-5453-4669-ac90-296dab728fe8
2026-04-07T05:14:07.465Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: b23a0cc3-6389-45fb-bc03-57c2cb24df89
2026-04-07T05:14:07.465Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 85624e53-730c-4bac-8a1d-a4031f15f803
2026-04-07T05:14:07.465Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 6ae4d791-085b-4472-816f-b20b52954351
2026-04-07T05:14:07.465Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 6390d351-34f3-4c84-9203-5d9988895400
2026-04-07T05:14:07.465Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: f8c4aef0-e451-4751-8aff-2b71e12c9c8c
2026-04-07T05:14:07.465Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: a0414492-9a8d-4461-9940-a02f3add54e5
2026-04-07T05:14:07.465Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: af1686b6-dbf2-4f9f-a87a-26f19489ce51
2026-04-07T05:14:07.465Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 37d6f49c-4b91-4b21-b4da-59fec3be723b
2026-04-07T05:14:07.465Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: d077cab7-00e6-4521-81b9-4fbbd4c8c156
2026-04-07T05:14:07.465Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 2277e46b-6339-4a97-8271-ee821b750380
2026-04-07T05:14:07.465Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: b0159336-76a4-43f6-b1bc-05b86eb063f9
2026-04-07T05:14:07.465Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 81273963-6b83-4181-97a8-da402539423a
2026-04-07T05:14:07.465Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 63f77f07-3264-457e-a529-7650ecae77de
2026-04-07T05:14:07.466Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 442dc821-8d47-4337-a255-3260943fb87c
2026-04-07T05:14:07.466Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 34513261-1ec2-4e50-892e-f4c563393898
2026-04-07T05:14:07.466Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: c585034f-75e4-49d5-8c42-4142202f4fc2
2026-04-07T05:14:07.466Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 0054f4f7-6de2-4fcc-bf53-fc6c08456ceb
2026-04-07T05:14:07.466Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 149377e2-2edf-4ada-bfac-f66f5c2c5383
2026-04-07T05:14:07.466Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: c96286df-2392-41f0-a653-6644407b4c0f
2026-04-07T05:14:07.466Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: d9d78ec7-dd52-47db-8e35-16462e6297d8
2026-04-07T05:14:07.466Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: b120d19f-3a15-47da-ae07-077f4dc46651
2026-04-07T05:14:07.466Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 120224d4-1fa2-4dea-9a47-b31e75416726
2026-04-07T05:14:07.466Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 51379e07-8e82-4b34-8d5d-11a8597077a6
2026-04-07T05:14:07.466Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: e6f4352c-e51b-44ca-b238-8b7f7ba848ee
2026-04-07T05:14:07.466Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: dd461c67-a582-4f93-9665-6a90b8199a14
2026-04-07T05:14:07.466Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 1d527b66-3731-4c58-b6b3-e2f4eb317651
2026-04-07T05:14:07.466Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: a47de4fc-17b5-47b9-a37e-23fcdba566a0
2026-04-07T05:14:07.466Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 81c1c842-d148-4d82-ae80-71625ffc7075
2026-04-07T05:14:07.466Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: f2670d51-73ca-4907-ad13-400dd597b761
2026-04-07T05:14:07.467Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 684560d6-a81b-4175-ad14-3388aa30cf16
2026-04-07T05:14:07.467Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: a1d3cc99-052b-4a04-815f-d956c3ac2ea2
2026-04-07T05:14:07.467Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 17f507c0-62d2-4e0d-bce1-097312fe3f61
2026-04-07T05:14:07.467Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: c94cc99d-f7fc-4d85-b16b-1616b015f339
2026-04-07T05:14:07.467Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 9f5bb6db-332b-4097-aa80-a21350c6aa54
2026-04-07T05:14:07.467Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 5ca5eda0-9c80-4f75-af83-22de1417dfe1
2026-04-07T05:14:07.467Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: f4dc40dd-7dd3-47d5-a929-c83c91d221c8
2026-04-07T05:14:07.467Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 00768fea-3bfa-433a-8bb9-95168fb3720a
2026-04-07T05:14:07.467Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 0896c3e6-29e0-4f0e-ae58-f7baa7a52e6a
2026-04-07T05:14:07.467Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 119be54d-e065-4c3d-8406-6eca24c1c532
2026-04-07T05:14:07.467Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 0ad4174c-dd5a-4747-90b9-4115649d6fe1
2026-04-07T05:14:07.467Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: ea836126-35d4-4050-a54b-c963948894a8
2026-04-07T05:14:07.467Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: cacc1590-9488-4951-b4ac-4b3c6a0d6c3e
2026-04-07T05:14:07.467Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 5c9c4290-651b-4f33-a9a1-497f8a610961
2026-04-07T05:14:07.467Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 197148e3-21e6-45d6-9f4f-e7228958a7b4
2026-04-07T05:14:07.468Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 44488040-a53a-42b5-8b39-5d1e66c67c97
2026-04-07T05:14:07.468Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 7f7a245f-934a-4a63-a6b0-9347697b2290
2026-04-07T05:14:07.468Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 499cbb28-b8dd-4dd6-af57-4a7a52109d70
2026-04-07T05:14:07.468Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: e4e2ecdd-7fa5-4731-9dc0-325d2de1f5b0
2026-04-07T05:14:07.468Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: 7a85c960-da94-41a5-bd77-7bbc3f2c50f8
2026-04-07T05:14:07.468Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: b12df8ea-e006-4a7c-9a70-e836d88d32d0
2026-04-07T05:14:07.468Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: bced4f31-9d5f-49be-bddc-f0caaee1bb11
2026-04-07T05:14:07.468Z  INFO 1 --- [demo] [nio-8000-exec-6] c.h.m.o.d.s.JurisdictionAreaServiceImpl  : Mapping JurisdictionArea with UUID: c920221c-bffd-4ddc-aec8-f3fb6f8036b8
